v1,coef,low,high,受教育水平
T_4,-0.00753,,,全体样本
,(-0.0312 - 0.0162),-0.0312,0.0162,全体样本
T_3,-0.00693,,,全体样本
,(-0.0260 - 0.0121),-0.0260,0.0121,全体样本
T_2,-0.00788,,,全体样本
,(-0.0233 - 0.00754),-0.0233,0.00754,全体样本
T0,-0.0111,,,全体样本
,(-0.0270 - 0.00480),-0.0270,0.00480,全体样本
T1,-0.0726,,,全体样本
,(-0.101 - -0.0444),-0.101,-0.0444,全体样本
T2,-0.0662,,,全体样本
,(-0.0934 - -0.0390),-0.0934,-0.0390,全体样本
T3,-0.0740,,,全体样本
,(-0.100 - -0.0478),-0.100,-0.0478,全体样本
T4,-0.0699,,,全体样本
,(-0.0958 - -0.0440),-0.0958,-0.0440,全体样本
T5,-0.0737,,,全体样本
,(-0.0995 - -0.0478),-0.0995,-0.0478,全体样本
T6,-0.0775,,,全体样本
,(-0.103 - -0.0516),-0.103,-0.0516,全体样本
T7,-0.0682,,,全体样本
,(-0.0897 - -0.0466),-0.0897,-0.0466,全体样本
T8,-0.0828,,,全体样本
,(-0.0939 - -0.0717),-0.0939,-0.0717,全体样本
